size,T,seed,opt_status,opt_risk,opt_time,rolling_risk,rolling_time,rolling_gap,lns_risk,lns_time,lns_gap,bestgreedy_risk,bestgreedy_feasible,rolling_vs_greedy,lns_vs_greedy
40,20,0,OPTIMAL,1754,14.12,1761,17.16,0.00399,1754,19.98,0.0,2066,1,-0.14763,-0.15102
40,20,1,FEASIBLE,1364,45.05,1442,9.77,,1370,20.17,,2348,1,-0.38586,-0.41652
40,20,2,FEASIBLE,1646,45.06,1629,12.35,,1629,20.18,,2458,1,-0.33727,-0.33727
40,20,3,FEASIBLE,2002,45.04,2070,17.51,,2046,20.16,,2683,1,-0.22848,-0.23742
40,20,4,FEASIBLE,853,45.04,850,11.32,,870,20.29,,1235,1,-0.31174,-0.29555
60,20,0,INFEASIBLE,,0.15,7482,3.76,,,0.43,,7601,0,-0.01566,
60,20,1,INFEASIBLE,,0.13,13371,3.6,,,0.85,,13451,0,-0.00595,
60,20,2,FEASIBLE,1303,45.03,1294,16.9,,1727,20.1,,2442,1,-0.47011,-0.29279
60,20,3,INFEASIBLE,,0.13,21630,2.23,,,0.43,,21634,0,-0.00018,
60,20,4,FEASIBLE,2656,45.04,2695,17.05,,2675,20.98,,17609,0,-0.84695,-0.84809
80,20,0,FEASIBLE,4527,45.04,4574,17.16,,4500,20.7,,27797,0,-0.83545,-0.83811
80,20,1,INFEASIBLE,,0.11,23683,2.47,,,0.55,,23683,0,0.0,
80,20,2,FEASIBLE,2606,45.04,2648,17.37,,2768,19.97,,3920,1,-0.32449,-0.29388
